Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
240019872,Soon by You,Dahlia Adler,"Adler, Dahlia",,"=""1250411882""","=""9781250411884""",0,St. Martin's Griffin,Paperback,336,2026,2026,,2026/05/13,to-read,to-read (#445),to-read,,,,0,0
240381441,Canon,Paige Lewis,"Lewis, Paige",,"=""""","=""9798217059362""",0,Viking,Hardcover,480,2026,2026,,2026/05/13,to-read,to-read (#444),to-read,,,,0,0
6493536,Masterpiece Comics,Robert Sikoryak,"Sikoryak, Robert",,"=""1897299842""","=""9781897299845""",0,Drawn & Quarterly,Hardcover,64,2009,2009,,2026/05/07,to-read,to-read (#443),to-read,,,,0,0
30256966,Terms and Conditions,Robert Sikoryak,"Sikoryak, Robert",,"=""1770462740""","=""9781770462748""",0,Drawn and Quarterly,Paperback,108,2017,2015,,2026/05/07,,,read,,,,1,0
221164555,Things in Nature Merely Grow,Yiyun Li,"Li, Yiyun",,"=""0374617317""","=""9780374617318""",0,"Farrar, Straus and Giroux",Hardcover,192,2025,2025,,2026/05/05,to-read,to-read (#442),to-read,,,,0,0
34381137,Dear Evan Hansen,Steven  Levenson,"Levenson, Steven","Benj Pasek, Justin  Paul","=""1559365609""","=""9781559365604""",4,Theatre Communications Group,Paperback,144,2017,2017,,2026/05/04,,,read,,,,1,0
8035987,Next to Normal,Brian Yorkey,"Yorkey, Brian",Tom Kitt,"=""1559363703""","=""9781559363709""",5,Theatre Communications Group,Paperback,112,2010,2009,,2026/05/04,,,read,,,,1,0
35087788,A Midsummer Night's Dream (Arden Shakespeare: Third Series),William Shakespeare,"Shakespeare, William",,"=""1408142775""","=""9781408142776""",5,Bloomsbury Arden Shakespeare,Paperback,400,2017,1963,,2026/05/04,,,read,,,,1,0
218460347,The Road to Tender Hearts,Annie  Hartnett,"Hartnett, Annie",,"=""0593873440""","=""9780593873441""",0,Ballantine Books,Hardcover,384,2025,2025,,2026/05/03,to-read,to-read (#441),to-read,,,,0,0
60644838,When McKinsey Comes to Town,Walt Bogdanich,"Bogdanich, Walt",Michael Forsythe,"=""1847926258""","=""9781847926258""",0,Doubleday,Hardcover,368,2022,2022,,2026/05/01,to-read,to-read (#440),to-read,,,,0,0
231425583,Lázár,Nelio Biedermann,"Biedermann, Nelio",,"=""3737102260""","=""9783737102261""",0,Rowohlt Berlin,Hardcover,336,2025,2025,,2026/04/25,to-read,to-read (#439),to-read,,,,0,0
166997,Stoner,John  Williams,"Williams, John",John McGahern,"=""1590171993""","=""9781590171998""",0,New York Review Books,Paperback,292,2006,1965,,2026/04/24,to-read,to-read (#438),to-read,,,,0,0
11100788,Leaving the Atocha Station,Ben Lerner,"Lerner, Ben",,"=""""","=""""",4,Coffee House Press,Paperback,181,2011,2011,2026/01/01,2026/03/09,,,read,,,,1,0
56842,Fatherland,Robert   Harris,"Harris, Robert",,"=""0061006629""","=""9780061006623""",0,Harper Paperbacks,Paperback,380,1992,1992,,2026/04/14,to-read,to-read (#437),to-read,,,,0,0
52266607,For Esmé—with Love & Squalor,J.D. Salinger,"Salinger, J.D.",,"=""""","=""""",5,,ebook,26,,1953,2023/02/17,2023/02/09,,,read,,,,1,0
30038960,"Insomniac City: New York, Oliver, and Me",Bill Hayes,"Hayes, Bill",,"=""1620404931""","=""9781620404935""",0,Bloomsbury USA,Hardcover,294,2017,2017,,2026/03/30,to-read,to-read (#436),to-read,,,,0,0
228110489,Heart the Lover,Lily King,"King, Lily",,"=""0802165176""","=""9780802165176""",4,Grove Press,Hardcover,256,2025,2025,,2026/03/30,,,read,,,,1,0
42955046,Kintsugi,María José Navia,"Navia, María José",,"=""""","=""""",0,Kindberg,Unknown Binding,140,2018,2018,,2026/03/26,to-read,to-read (#435),to-read,,,,0,0
55834180,Eurotrash,Christian Kracht,"Kracht, Christian",,"=""3462050834""","=""9783462050837""",3,Kiepenheuer & Witsch,Hardcover,209,2021,,2026/03/25,2026/03/25,,,read,,,,1,0
110457,Nadja,André Breton,"Breton, André",Richard Howard,"=""0802150268""","=""9780802150264""",0,Grove Press,Paperback,160,1994,1928,,2026/03/24,to-read,to-read (#434),to-read,,,,0,0
1052340,The Victorian Chaise Longue,Marghanita Laski,"Laski, Marghanita",,"=""0897330978""","=""9780897330978""",0,Academy Chicago Publishers,Paperback,119,1984,1953,,2026/03/21,to-read,to-read (#433),to-read,,,,0,0
153426,The Passion According to G.H.,Clarice Lispector,"Lispector, Clarice",Ronald W. Sousa,"=""0816617120""","=""9780816617128""",0,University of Minnesota Press,Paperback,173,1988,1964,,2026/03/19,to-read,to-read (#432),to-read,,,,0,0
200776812,Butter,Asako Yuzuki,"Yuzuki, Asako",Polly Barton,"=""0063236400""","=""9780063236400""",0,Ecco,Hardcover,464,2024,2017,,2026/03/16,to-read,to-read (#431),to-read,,,,0,0
218671839,"Strange Houses (Strange Houses, #1)",Uketsu,"Uketsu, Uketsu",Jim Rion,"=""006343315X""","=""9780063433151""",0,HarperVia,Paperback,203,2025,2021,,2026/03/16,to-read,to-read (#430),to-read,,,,0,0
472331,Watchmen,Alan Moore,"Moore, Alan","Dave Gibbons, John    Higgins","=""0930289234""","=""9780930289232""",5,DC Comics,Paperback,416,2005,1987,,2021/11/26,,,read,,,,1,0
135704475,King Lear-Arden Shakespeare,William Shakespeare,"Shakespeare, William",,"=""""","=""9789382563969""",0,BLOOMSBURY,Paperback,0,2013,,2026/01/01,2026/03/01,,,read,,,,1,0
34043262,What I Talk About When I Talk About Running,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""""","=""""",0,Vintage Books,Paperback,180,2016,2007,,2026/03/09,to-read,to-read (#429),to-read,,,,0,0
49188384,Red Pill,Hari Kunzru,"Kunzru, Hari",,"=""0451493710""","=""9780451493712""",0,Knopf,Hardcover,304,2020,2020,,2026/03/02,to-read,to-read (#428),to-read,,,,0,0
24694,Bartleby and Benito Cereno,Herman Melville,"Melville, Herman",Stanley Appelbaum,"=""0486264734""","=""9780486264738""",0,Dover Publications,Paperback,104,1990,,,2026/02/28,,,read,,,,1,0
36277162,"Skin in the Game: Hidden Asymmetries in Daily Life (Incerto, #5)",Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,"=""0425284638""","=""9780425284636""",0,Random House,Kindle Edition,254,2018,2018,,2025/10/14,to-read,to-read (#427),to-read,,,,1,0
74034,Amusing Ourselves to Death: Public Discourse in the Age of Show Business,Neil Postman,"Postman, Neil",Andrew Postman,"=""014303653X""","=""9780143036531""",0,Penguin Books,Paperback,184,2005,1985,,2026/01/27,to-read,to-read (#426),to-read,,,,0,0
209311279,Leaves of Grass (Oxford World's Classics),Walt Whitman,"Whitman, Walt",Peter Riley,"=""0192894447""","=""9780192894441""",0,Oxford University Press,Paperback,576,2024,1855,,2026/01/18,to-read,to-read (#425),to-read,,,,1,0
17250,The Crucible,Arthur Miller,"Miller, Arthur",Christopher W.E. Bigsby,"=""0142437336""","=""9780142437339""",0,Penguin Books,Paperback,143,2003,1953,,2026/01/09,to-read,to-read (#424),to-read,,,,0,0
5805,V for Vendetta,Alan Moore,"Moore, Alan","David   Lloyd, Steve Whitaker, Siobhan Dodds","=""1401207928""","=""9781401207922""",0,Vertigo,Hardcover,296,2005,1990,,2026/01/09,to-read,to-read (#423),to-read,,,,0,0
240424526,Half His Age,Jennette McCurdy,"McCurdy, Jennette",,"=""0593723732""","=""9780593723739""",0,Ballantine Books,Hardcover,288,2026,2026,,2025/12/23,to-read,to-read (#422),to-read,,,,0,0
57008042,Your Head is a Houseboat: A Chaotic Guide to Mental Clarity,Campbell Walker,"Walker, Campbell",,"=""1743797494""","=""9781743797495""",0,Hardie Grant Books,Paperback,160,2021,2021,,2025/11/19,to-read,to-read (#421),to-read,,,,0,0
13538873,"Mr. Penumbra's 24-Hour Bookstore (Mr. Penumbra's 24-Hour Bookstore, #1)",Robin Sloan,"Sloan, Robin",,"=""0374214913""","=""9780374214913""",0,"Farrar, Straus and Giroux",Hardcover,288,2012,2012,,2025/11/18,to-read,to-read (#420),to-read,,,,0,0
243410368,"James Chalk, Fair Buyer of Lightning: or; Peace is a Pile of Mint",Tim DeMoss,"DeMoss, Tim",,"=""""","=""9798993459509""",0,Tim DeMoss,Paperback,90,2025,,,2025/11/16,to-read,to-read (#419),to-read,,,,0,0
237506499,"The Oxygen Paradox: Why More Isn’t Always Better and How to Breathe for Healing, Energy, and Longevity",John Wilson,"Wilson, John",,"=""""","=""""",0,,Kindle Edition,100,2025,,,2025/11/13,to-read,to-read (#418),to-read,,,,0,0
224003839,"A Couple: What if the end was just the beginning? A Parisian love story, told in reverse",Eliette Abécassis,"Abécassis, Eliette",Johanna McCalmont,"=""1646900499""","=""9781646900497""",0,Arctis,Paperback,198,2025,2023,,2025/11/13,to-read,to-read (#417),to-read,,,,0,0
53327621,You Will Get Through This Night,Daniel  Howell,"Howell, Daniel",,"=""006305387X""","=""9780063053878""",0,Dey Street Books,Kindle Edition,320,2021,2021,,2025/10/20,to-read,to-read (#416),to-read,,,,0,0
216670080,Strange Pictures,Uketsu,"Uketsu, Uketsu",Jim Rion,"=""0063433087""","=""9780063433083""",0,HarperVia,Paperback,236,2025,2022,,2025/10/07,to-read,to-read (#415),to-read,,,,0,0
54898389,The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,"Jorgenson, Eric",,"=""""","=""9781544514208""",0,Magrathea Publishing,Kindle Edition,244,2020,2020,,2025/09/29,to-read,to-read (#414),to-read,,,,0,0
205465443,The Ants of Bimbleby Hill,Premee Mohamed,"Mohamed, Premee",,"=""""","=""""",0,Audible Originals,Audiobook,,2022,,,2025/09/20,to-read,to-read (#413),to-read,,,,0,0
